agency_cd,site_no,datetime,MeanFlow_cfs,Confidence
USGS,02087500,1930-10-01,347.0,A
USGS,02087500,1930-10-02,173.0,A
USGS,02087500,1930-10-03,132.0,A
USGS,02087500,1930-10-04,125.0,A
USGS,02087500,1930-10-05,125.0,A
USGS,02087500,1930-10-06,98.0,A
USGS,02087500,1930-10-07,87.0,A
USGS,02087500,1930-10-08,87.0,A
USGS,02087500,1930-10-09,118.0,A
USGS,02087500,1930-10-10,118.0,A
USGS,02087500,1930-10-11,118.0,A
USGS,02087500,1930-10-12,111.0,A
USGS,02087500,1930-10-13,116.0,A
USGS,02087500,1930-10-14,257.0,A
USGS,02087500,1930-10-15,299.0,A
USGS,02087500,1930-10-16,440.0,A
USGS,02087500,1930-10-17,296.0,A
USGS,02087500,1930-10-18,237.0,A
USGS,02087500,1930-10-19,192.0,A
USGS,02087500,1930-10-20,132.0,A
USGS,02087500,1930-10-21,173.0,A
USGS,02087500,1930-10-22,182.0,A
USGS,02087500,1930-10-23,156.0,A
USGS,02087500,1930-10-24,156.0,A
USGS,02087500,1930-10-25,164.0,A
USGS,02087500,1930-10-26,148.0,A
USGS,02087500,1930-10-27,125.0,A
USGS,02087500,1930-10-28,164.0,A
USGS,02087500,1930-10-29,213.0,A
USGS,02087500,1930-10-30,329.0,A
USGS,02087500,1930-10-31,296.0,A
USGS,02087500,1930-11-01,237.0,A
USGS,02087500,1930-11-02,213.0,A
USGS,02087500,1930-11-03,164.0,A
USGS,02087500,1930-11-04,404.0,A
USGS,02087500,1930-11-05,750.0,A
USGS,02087500,1930-11-06,575.0,A
USGS,02087500,1930-11-07,480.0,A
USGS,02087500,1930-11-08,364.0,A
USGS,02087500,1930-11-09,280.0,A
USGS,02087500,1930-11-10,250.0,A
USGS,02087500,1930-11-11,312.0,A
USGS,02087500,1930-11-12,250.0,A
USGS,02087500,1930-11-13,250.0,A
USGS,02087500,1930-11-14,280.0,A
USGS,02087500,1930-11-15,265.0,A
USGS,02087500,1930-11-16,237.0,A
USGS,02087500,1930-11-17,202.0,A
USGS,02087500,1930-11-18,312.0,A
USGS,02087500,1930-11-19,250.0,A
USGS,02087500,1930-11-20,280.0,A
USGS,02087500,1930-11-21,312.0,A
USGS,02087500,1930-11-22,296.0,A
USGS,02087500,1930-11-23,224.0,A
USGS,02087500,1930-11-24,192.0,A
USGS,02087500,1930-11-25,280.0,A
USGS,02087500,1930-11-26,237.0,A
USGS,02087500,1930-11-27,213.0,A
USGS,02087500,1930-11-28,202.0,A
USGS,02087500,1930-11-29,202.0,A
USGS,02087500,1930-11-30,192.0,A
USGS,02087500,1930-12-01,265.0,A
USGS,02087500,1930-12-02,401.0,A
USGS,02087500,1930-12-03,296.0,A
USGS,02087500,1930-12-04,280.0,A
USGS,02087500,1930-12-05,280.0,A
USGS,02087500,1930-12-06,329.0,A
USGS,02087500,1930-12-07,695.0,A
USGS,02087500,1930-12-08,920.0,A
USGS,02087500,1930-12-09,920.0,A
USGS,02087500,1930-12-10,595.0,A
USGS,02087500,1930-12-11,440.0,A
USGS,02087500,1930-12-12,382.0,A
USGS,02087500,1930-12-13,346.0,A
USGS,02087500,1930-12-14,280.0,A
USGS,02087500,1930-12-15,280.0,A
USGS,02087500,1930-12-16,312.0,A
USGS,02087500,1930-12-17,296.0,A
USGS,02087500,1930-12-18,312.0,A
USGS,02087500,1930-12-19,420.0,A
USGS,02087500,1930-12-20,595.0,A
USGS,02087500,1930-12-21,645.0,A
USGS,02087500,1930-12-22,695.0,A
USGS,02087500,1930-12-23,695.0,A
USGS,02087500,1930-12-24,620.0,A
USGS,02087500,1930-12-25,500.0,A
USGS,02087500,1930-12-26,645.0,A
USGS,02087500,1930-12-27,1870.0,A
USGS,02087500,1930-12-28,2500.0,A
USGS,02087500,1930-12-29,2660.0,A
USGS,02087500,1930-12-30,1870.0,A
USGS,02087500,1930-12-31,1220.0,A
USGS,02087500,1931-01-01,980.0,A
USGS,02087500,1931-01-02,805.0,A
USGS,02087500,1931-01-03,645.0,A
USGS,02087500,1931-01-04,620.0,A
USGS,02087500,1931-01-05,620.0,A
USGS,02087500,1931-01-06,805.0,A
USGS,02087500,1931-01-07,1220.0,A
USGS,02087500,1931-01-08,1220.0,A
USGS,02087500,1931-01-09,860.0,A
USGS,02087500,1931-01-10,645.0,A
USGS,02087500,1931-01-11,595.0,A
USGS,02087500,1931-01-12,750.0,A
USGS,02087500,1931-01-13,1680.0,A
USGS,02087500,1931-01-14,1610.0,A
USGS,02087500,1931-01-15,1350.0,A
USGS,02087500,1931-01-16,980.0,A
USGS,02087500,1931-01-17,860.0,A
USGS,02087500,1931-01-18,860.0,A
USGS,02087500,1931-01-19,1100.0,A
USGS,02087500,1931-01-20,1540.0,A
USGS,02087500,1931-01-21,1610.0,A
USGS,02087500,1931-01-22,1160.0,A
USGS,02087500,1931-01-23,860.0,A
USGS,02087500,1931-01-24,750.0,A
USGS,02087500,1931-01-25,695.0,A
USGS,02087500,1931-01-26,695.0,A
USGS,02087500,1931-01-27,645.0,A
USGS,02087500,1931-01-28,595.0,A
USGS,02087500,1931-01-29,545.0,A
USGS,02087500,1931-01-30,522.0,A
USGS,02087500,1931-01-31,500.0,A
USGS,02087500,1931-02-01,480.0,A
USGS,02087500,1931-02-02,460.0,A
USGS,02087500,1931-02-03,440.0,A
USGS,02087500,1931-02-04,440.0,A
USGS,02087500,1931-02-05,420.0,A
USGS,02087500,1931-02-06,420.0,A
USGS,02087500,1931-02-07,420.0,A
USGS,02087500,1931-02-08,401.0,A
USGS,02087500,1931-02-09,420.0,A
USGS,02087500,1931-02-10,522.0,A
USGS,02087500,1931-02-11,480.0,A
USGS,02087500,1931-02-12,460.0,A
USGS,02087500,1931-02-13,440.0,A
USGS,02087500,1931-02-14,460.0,A
USGS,02087500,1931-02-15,500.0,A
USGS,02087500,1931-02-16,480.0,A
USGS,02087500,1931-02-17,480.0,A
USGS,02087500,1931-02-18,500.0,A
USGS,02087500,1931-02-19,545.0,A
USGS,02087500,1931-02-20,570.0,A
USGS,02087500,1931-02-21,570.0,A
USGS,02087500,1931-02-22,570.0,A
USGS,02087500,1931-02-23,570.0,A
USGS,02087500,1931-02-24,500.0,A
USGS,02087500,1931-02-25,480.0,A
USGS,02087500,1931-02-26,460.0,A
USGS,02087500,1931-02-27,440.0,A
USGS,02087500,1931-02-28,420.0,A
USGS,02087500,1931-03-01,480.0,A
USGS,02087500,1931-03-02,500.0,A
USGS,02087500,1931-03-03,522.0,A
USGS,02087500,1931-03-04,545.0,A
USGS,02087500,1931-03-05,500.0,A
USGS,02087500,1931-03-06,460.0,A
USGS,02087500,1931-03-07,440.0,A
USGS,02087500,1931-03-08,480.0,A
USGS,02087500,1931-03-09,545.0,A
USGS,02087500,1931-03-10,695.0,A
USGS,02087500,1931-03-11,645.0,A
USGS,02087500,1931-03-12,522.0,A
USGS,02087500,1931-03-13,460.0,A
USGS,02087500,1931-03-14,440.0,A
USGS,02087500,1931-03-15,420.0,A
USGS,02087500,1931-03-16,420.0,A
USGS,02087500,1931-03-17,420.0,A
USGS,02087500,1931-03-18,401.0,A
USGS,02087500,1931-03-19,401.0,A
USGS,02087500,1931-03-20,382.0,A
USGS,02087500,1931-03-21,364.0,A
USGS,02087500,1931-03-22,652.0,A
USGS,02087500,1931-03-23,2130.0,A
USGS,02087500,1931-03-24,1960.0,A
USGS,02087500,1931-03-25,1420.0,A
USGS,02087500,1931-03-26,980.0,A
USGS,02087500,1931-03-27,750.0,A
USGS,02087500,1931-03-28,595.0,A
USGS,02087500,1931-03-29,980.0,A
USGS,02087500,1931-03-30,1220.0,A
USGS,02087500,1931-03-31,1480.0,A
USGS,02087500,1931-04-01,1220.0,A
